Anscombe Data are famous.,,
4 small and very different data sets giving the same answer in a linear regression,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
x,y,data
10,8.039999962,1
8,6.949999809,1
13,7.579999924,1
9,8.81000042,1
11,8.329999924,1
14,9.960000038,1
6,7.239999771,1
4,4.260000229,1
12,10.84000015,1
7,4.820000172,1
5,5.679999828,1
10,9.140000343,2
8,8.140000343,2
13,8.739999771,2
9,8.770000458,2
11,9.260000229,2
14,8.100000381,2
6,6.130000114,2
4,3.099999905,2
12,9.130000114,2
7,7.260000229,2
5,4.739999771,2
10,7.460000038,3
8,6.769999981,3
13,12.73999977,3
9,7.110000134,3
11,7.809999943,3
14,8.840000153,3
6,6.079999924,3
4,5.389999866,3
12,8.149999619,3
7,6.420000076,3
5,5.730000019,3
8,6.579999924,4
8,5.760000229,4
8,7.710000038,4
8,8.840000153,4
8,8.470000267,4
8,7.039999962,4
8,5.25,4
19,12.5,4
8,5.559999943,4
8,7.909999847,4
8,6.889999866,4
