Data retrieved from ,,,,,
https://www.fda.gov/media/147254/download,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Days, Total_DP,Total_TP,Sensitivity,Lower_CI,Upper_CI
1,12,10,83.30%,51.60%,97.90%
2,34,28,82.40%,65.50%,93.20%
3,50,41,82.00%,68.60%,91.40%
4,63,50,79.40%,67.30%,88.50%
5,78,63,80.80%,70.30%,88.80%
6,90,75,83.30%,74.00%,90.40%
7,117,99,84.60%,76.80%,90.60%
8 to 10,144,118,81.90%,74.70%,87.90%
11 to 14,161,126,78.30%,71.10%,84.40%
All specimens ,167,129,77.20%,70.10%,83.40%
